in s,C1 in V
-2.9808021E+01,4.244453E-01
-2.9807563E+01,4.254638E-01
-2.9807106E+01,4.272293E-01
-2.9806648E+01,4.275552E-01
-2.9806190E+01,4.257762E-01
-2.9805732E+01,4.266996E-01
-2.9805274E+01,4.284787E-01
-2.9804817E+01,4.272021E-01
-2.9804359E+01,4.273787E-01
-2.9803901E+01,4.256675E-01
-2.9803443E+01,4.267675E-01
-2.9802986E+01,4.290083E-01
-2.9802528E+01,4.259935E-01
-2.9802070E+01,4.264009E-01
-2.9801612E+01,4.264416E-01
-2.9801155E+01,4.264280E-01
-2.9800697E+01,4.250157E-01
-2.9800239E+01,4.261021E-01
-2.9799781E+01,4.236033E-01
-2.9799323E+01,4.272700E-01
-2.9798866E+01,4.256268E-01
-2.9798408E+01,4.275009E-01
-2.9797950E+01,4.274737E-01
-2.9797492E+01,4.279490E-01
-2.9797035E+01,4.251515E-01
-2.9796577E+01,4.273515E-01
-2.9796119E+01,4.289404E-01
-2.9795661E+01,4.283836E-01
-2.9795204E+01,4.285058E-01
-2.9794746E+01,4.264552E-01
-2.9794288E+01,4.255996E-01
-2.9793830E+01,4.266589E-01
-2.9793373E+01,4.245947E-01
-2.9792915E+01,4.261429E-01
-2.9792457E+01,4.279355E-01
-2.9791999E+01,4.275009E-01
-2.9791541E+01,4.251651E-01
-2.9791084E+01,4.281392E-01
-2.9790626E+01,4.265367E-01
-2.9790168E+01,4.262108E-01
-2.9789710E+01,4.234947E-01
-2.9789253E+01,4.291034E-01
-2.9788795E+01,4.266589E-01
-2.9788337E+01,4.250564E-01
-2.9787879E+01,4.250700E-01
-2.9787422E+01,4.274058E-01
-2.9786964E+01,4.268354E-01
-2.9786506E+01,4.291169E-01
-2.9786048E+01,4.269034E-01
-2.9785590E+01,4.262243E-01
-2.9785133E+01,4.291441E-01
-2.9784675E+01,4.266725E-01
-2.9784217E+01,4.264824E-01
-2.9783759E+01,4.259256E-01
-2.9783302E+01,4.266182E-01
-2.9782844E+01,4.281799E-01
-2.9782386E+01,4.275824E-01
-2.9781928E+01,4.263737E-01
-2.9781471E+01,4.294972E-01
-2.9781013E+01,4.284922E-01
-2.9780555E+01,4.278947E-01
-2.9780097E+01,4.267675E-01
-2.9779639E+01,4.281392E-01
-2.9779182E+01,4.284787E-01
-2.9778724E+01,4.258169E-01
-2.9778266E+01,4.247984E-01
-2.9777808E+01,4.281799E-01
-2.9777351E+01,4.270935E-01
-2.9776893E+01,4.250564E-01
-2.9776435E+01,4.270120E-01
-2.9775977E+01,4.300132E-01
-2.9775520E+01,4.261429E-01
-2.9775062E+01,4.246898E-01
-2.9774604E+01,4.281120E-01
-2.9774146E+01,4.270392E-01
-2.9773688E+01,4.262515E-01
-2.9773231E+01,4.299589E-01
-2.9772773E+01,4.274466E-01
-2.9772315E+01,4.276774E-01
-2.9771857E+01,4.277318E-01
-2.9771400E+01,4.263330E-01
-2.9770942E+01,4.291984E-01
-2.9770484E+01,4.277861E-01
-2.9770026E+01,4.260885E-01
-2.9769569E+01,4.283972E-01
-2.9769111E+01,4.259663E-01
-2.9768653E+01,4.270935E-01
-2.9768195E+01,4.259799E-01
-2.9767738E+01,4.264959E-01
-2.9767280E+01,4.285873E-01
-2.9766822E+01,4.275145E-01
-2.9766364E+01,4.267675E-01
-2.9765906E+01,4.266725E-01
-2.9765449E+01,4.260750E-01
-2.9764991E+01,4.268490E-01
-2.9764533E+01,4.278404E-01
-2.9764075E+01,4.268219E-01
-2.9763618E+01,4.289268E-01
-2.9763160E+01,4.288725E-01
-2.9762702E+01,4.279219E-01
-2.9762244E+01,4.271750E-01
-2.9761787E+01,4.290355E-01
-2.9761329E+01,4.274058E-01
-2.9760871E+01,4.286688E-01
-2.9760413E+01,4.277046E-01
-2.9759955E+01,4.271206E-01
-2.9759498E+01,4.268626E-01
-2.9759040E+01,4.266861E-01
-2.9758582E+01,4.272293E-01
-2.9758124E+01,4.287095E-01
-2.9757667E+01,4.292663E-01
-2.9757209E+01,4.273108E-01
-2.9756751E+01,4.275145E-01
-2.9756293E+01,4.266046E-01
-2.9755836E+01,4.281392E-01
-2.9755378E+01,4.261836E-01
-2.9754920E+01,4.269305E-01
-2.9754462E+01,4.285194E-01
-2.9754004E+01,4.281120E-01
-2.9753547E+01,4.282071E-01
-2.9753089E+01,4.259391E-01
-2.9752631E+01,4.281663E-01
-2.9752173E+01,4.269848E-01
-2.9751716E+01,4.271885E-01
-2.9751258E+01,4.285194E-01
-2.9750800E+01,4.266589E-01
-2.9750342E+01,4.290219E-01
-2.9749885E+01,4.262515E-01
-2.9749427E+01,4.255046E-01
-2.9748969E+01,4.277046E-01
-2.9748511E+01,4.287639E-01
-2.9748053E+01,4.279083E-01
-2.9747596E+01,4.251379E-01
-2.9747138E+01,4.269848E-01
-2.9746680E+01,4.265774E-01
-2.9746222E+01,4.241330E-01
-2.9745765E+01,4.259799E-01
-2.9745307E+01,4.268898E-01
